measure calculation,annex,country,fishing_activity,fishing_capacity,gt_days_at_sea,no_vessels,nominal_effort,regulated area,regulated gear,specon,vessel length,year
985842,BOB,FRA,,,124654,23,985842,8A-BOB,GILL,NONE,O10T15M,2006
994315,BOB,FRA,,,108167,32,994315,8B-BOB,GILL,NONE,O10T15M,2006
495954,BOB,FRA,,,50456,43,495954,8A-BOB,LONGLINE,NONE,O10T15M,2006
247713,BOB,FRA,,,31239,32,247713,8B-BOB,LONGLINE,NONE,O10T15M,2006
155533,BOB,FRA,,,23034,41,155533,8A-BOB,NONE,NONE,O10T15M,2006
192933,BOB,FRA,,,24471,81,192933,8B-BOB,NONE,NONE,O10T15M,2006
7027854,BOB,FRA,,,1079990,268,7027854,8A-BOB,OTTER,NONE,O10T15M,2006
1346523,BOB,FRA,,,221146,69,1346523,8B-BOB,OTTER,NONE,O10T15M,2006
130261,BOB,FRA,,,25498,4,130261,8A-BOB,PEL_SEINE,NONE,O10T15M,2006
31693,BOB,FRA,,,5430,3,31693,8B-BOB,PEL_SEINE,NONE,O10T15M,2006
465456,BOB,FRA,,,53989,8,465456,8A-BOB,PEL_TRAWL,NONE,O10T15M,2006
118768,BOB,FRA,,,18900,4,118768,8B-BOB,PEL_TRAWL,NONE,O10T15M,2006
42075,BOB,FRA,,,10939,4,42075,8A-BOB,POTS,NONE,O10T15M,2006
31188,BOB,FRA,,,3075,10,31188,8B-BOB,POTS,NONE,O10T15M,2006
1555070,BOB,FRA,,,210270,52,1555070,8A-BOB,TRAMMEL,NONE,O10T15M,2006
1235762,BOB,FRA,,,123413,50,1235762,8B-BOB,TRAMMEL,NONE,O10T15M,2006
438,BOB,FRA,,,24,1,438,8B-BOB,BEAM,NONE,O10T15M,2007
465264,BOB,FRA,,,52159,83,465264,8A-BOB,DREDGE,NONE,O10T15M,2007
36614,BOB,FRA,,,3831,24,36614,8B-BOB,DREDGE,NONE,O10T15M,2007
885213,BOB,FRA,,,115382,18,885213,8A-BOB,GILL,NONE,O10T15M,2007
750882,BOB,FRA,,,73923,28,750882,8B-BOB,GILL,NONE,O10T15M,2007
439109,BOB,FRA,,,40087,38,439109,8A-BOB,LONGLINE,NONE,O10T15M,2007
213559,BOB,FRA,,,29662,21,213559,8B-BOB,LONGLINE,NONE,O10T15M,2007
161803,BOB,FRA,,,20932,38,161803,8A-BOB,NONE,NONE,O10T15M,2007
105164,BOB,FRA,,,14003,46,105164,8B-BOB,NONE,NONE,O10T15M,2007
7788567,BOB,FRA,,,1186611,253,7788567,8A-BOB,OTTER,NONE,O10T15M,2007
1345241,BOB,FRA,,,217919,57,1345241,8B-BOB,OTTER,NONE,O10T15M,2007
124419,BOB,FRA,,,21353,5,124419,8A-BOB,PEL_SEINE,NONE,O10T15M,2007
31422,BOB,FRA,,,4359,2,31422,8B-BOB,PEL_SEINE,NONE,O10T15M,2007
523846,BOB,FRA,,,53478,12,523846,8A-BOB,PEL_TRAWL,NONE,O10T15M,2007
73535,BOB,FRA,,,11254,2,73535,8B-BOB,PEL_TRAWL,NONE,O10T15M,2007
34753,BOB,FRA,,,4905,3,34753,8A-BOB,POTS,NONE,O10T15M,2007
29001,BOB,FRA,,,3006,4,29001,8B-BOB,POTS,NONE,O10T15M,2007
1732736,BOB,FRA,,,233906,64,1732736,8A-BOB,TRAMMEL,NONE,O10T15M,2007
1177945,BOB,FRA,,,117509,50,1177945,8B-BOB,TRAMMEL,NONE,O10T15M,2007
2050,BOB,ENG,,205,403.4,1,2050,8A-BOB,GILL,NONE,O10T15M,2008
546.67,BOB,ENG,,205,107.57,1,546.67,8A-BOB,TRAMMEL,NONE,O10T15M,2008
377579,BOB,FRA,,,39468,102,377579,8A-BOB,DREDGE,NONE,O10T15M,2008
33423,BOB,FRA,,,4195,31,33423,8B-BOB,DREDGE,NONE,O10T15M,2008
565124,BOB,FRA,,,63718,15,565124,8A-BOB,GILL,NONE,O10T15M,2008
579282,BOB,FRA,,,57727,25,579282,8B-BOB,GILL,NONE,O10T15M,2008
350927,BOB,FRA,,,30931,33,350927,8A-BOB,LONGLINE,NONE,O10T15M,2008
159133,BOB,FRA,,,18422,19,159133,8B-BOB,LONGLINE,NONE,O10T15M,2008
258646,BOB,FRA,,,28685,56,258646,8A-BOB,NONE,NONE,O10T15M,2008
174992,BOB,FRA,,,20296,59,174992,8B-BOB,NONE,NONE,O10T15M,2008
5636552,BOB,FRA,,,811943,183,5636552,8A-BOB,OTTER,NONE,O10T15M,2008
1183273,BOB,FRA,,,195932,55,1183273,8B-BOB,OTTER,NONE,O10T15M,2008
135500,BOB,FRA,,,22394,4,135500,8A-BOB,PEL_SEINE,NONE,O10T15M,2008
32322,BOB,FRA,,,5022,4,32322,8B-BOB,PEL_SEINE,NONE,O10T15M,2008
75634,BOB,FRA,,,14145,5,75634,8A-BOB,PEL_TRAWL,NONE,O10T15M,2008
68059,BOB,FRA,,,10556,3,68059,8B-BOB,PEL_TRAWL,NONE,O10T15M,2008
8025,BOB,FRA,,,720,1,8025,8A-BOB,POTS,NONE,O10T15M,2008
2716,BOB,FRA,,,306,2,2716,8B-BOB,POTS,NONE,O10T15M,2008
1349204,BOB,FRA,,,168598,61,1349204,8A-BOB,TRAMMEL,NONE,O10T15M,2008
1199129,BOB,FRA,,,107310,48,1199129,8B-BOB,TRAMMEL,NONE,O10T15M,2008
5350.5,BOB,ENG,,410,1052.87,1,5350.5,8A-BOB,GILL,NONE,O10T15M,2009
5635,BOB,FRA,76,160,317.91,1,5635,8A-BOB,BEAM,NONE,O10T15M,2009
320,BOB,FRA,2,160,35.82,1,320,8B-BOB,BEAM,NONE,O10T15M,2009
356.22,BOB,FRA,2.11,169,18.97,1,356.22,8B-BOB,DEM_SEINE,NONE,O10T15M,2009
226979.8,BOB,FRA,2060.29,15418,23638.64,83,226979.8,8A-BOB,DREDGE,NONE,O10T15M,2009
31795.26,BOB,FRA,372.1,5050,3489.22,30,31795.26,8B-BOB,DREDGE,NONE,O10T15M,2009
170561.09,BOB,FRA,1196.35,5455,16246.91,7,170561.09,8A-BOB,GILL,NONE,O10T15M,2009
113444.18,BOB,FRA,905.53,4874,8048.62,5,113444.18,8B-BOB,GILL,NONE,O10T15M,2009
407367.34,BOB,FRA,2897.43,5179,24778.15,30,407367.34,8A-BOB,LONGLINE,NONE,O10T15M,2009
200484.76,BOB,FRA,1706.87,3907,16150.35,21,200484.76,8B-BOB,LONGLINE,NONE,O10T15M,2009
2060359.73,BOB,FRA,13294.65,38357,273401.32,58,2060359.73,8A-BOB,OTTER,NONE,O10T15M,2009
265402.67,BOB,FRA,2725.77,12346,33162.59,26,265402.67,8B-BOB,OTTER,NONE,O10T15M,2009
103194.29,BOB,FRA,557.17,1837,16626.14,5,103194.29,8A-BOB,PEL_SEINE,NONE,O10T15M,2009
31524.39,BOB,FRA,283.44,702,4257.69,2,31524.39,8B-BOB,PEL_SEINE,NONE,O10T15M,2009
